
PFT: tree
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008, 155.053, 182.828
2009,  96.616,1665.687
2010, 108.596, 163.912
2011, 248.522, 136.038
2012,  71.230, 145.392
2013,281516.666,11271.744
2014,-7137200.919,2390.452
wet season average = -979286.320, dry season average = 2279.436

PFT: grass
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008, 154.986, 182.718
2009,  96.544,1665.559
2010, 108.559, 163.798
2011, 248.442, 135.912
2012,  71.322, 145.287
2013,281516.606,11271.677
2014,-7137200.979,2390.363
wet season average = -979286.360, dry season average = 2279.331

PFT: bare
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008, 155.013, 182.762
2009,  96.573,1665.611
2010, 108.573, 163.843
2011, 248.474, 135.962
2012,  71.285, 145.329
2013,281516.630,11271.704
2014,-7137200.955,2390.399
wet season average = -979286.344, dry season average = 2279.373

PFT: shrub
year,PETwet,PETdry
1999,     nan,     nan
2000,     nan,     nan
2001,     nan,     nan
2002,     nan,     nan
2003,     nan,     nan
2004,     nan,     nan
2005,     nan,     nan
2006,     nan,     nan
2007,     nan,     nan
2008, 155.026, 182.784
2009,  96.587,1665.636
2010, 108.581, 163.866
2011, 248.490, 135.987
2012,  71.267, 145.350
2013,281516.642,11271.717
2014,-7137200.943,2390.416
wet season average = -979286.336, dry season average = 2279.394

PFT: tree
year,PETwet,PETdry
2008, 155.053, 182.828
2009,  96.616,1665.687
2010, 108.596, 163.912
2011, 248.522, 136.038
2012,  71.230, 145.392
2013,281516.666,11271.744
2014,-7137200.919,2390.452
wet season average = -979286.320, dry season average = 2279.436

PFT: grass
year,PETwet,PETdry
2008, 154.986, 182.718
2009,  96.544,1665.559
2010, 108.559, 163.798
2011, 248.442, 135.912
2012,  71.322, 145.287
2013,281516.606,11271.677
2014,-7137200.979,2390.363
wet season average = -979286.360, dry season average = 2279.331

PFT: bare
year,PETwet,PETdry
2008, 155.013, 182.762
2009,  96.573,1665.611
2010, 108.573, 163.843
2011, 248.474, 135.962
2012,  71.285, 145.329
2013,281516.630,11271.704
2014,-7137200.955,2390.399
wet season average = -979286.344, dry season average = 2279.373

PFT: shrub
year,PETwet,PETdry
2008, 155.026, 182.784
2009,  96.587,1665.636
2010, 108.581, 163.866
2011, 248.490, 135.987
2012,  71.267, 145.350
2013,281516.642,11271.717
2014,-7137200.943,2390.416
wet season average = -979286.336, dry season average = 2279.394

PFT: tree
year,PETwet,PETdry
2008, 157.720, 183.966
2009,  98.749,1666.792
2010, 109.869, 165.058
2011, 251.584, 137.269
2012,  76.522, 146.520
2013,282746.721,11272.480
2014,-7164441.026,2391.562
wet season average = -982999.980, dry season average = 2280.521

PFT: grass
year,PETwet,PETdry
2008, 157.452, 183.671
2009,  98.470,1666.484
2010, 109.623, 164.757
2011, 251.304, 136.942
2012,  76.224, 146.231
2013,282746.489,11272.293
2014,-7164441.271,2391.292
wet season average = -983000.244, dry season average = 2280.239

PFT: bare
year,PETwet,PETdry
2008, 157.559, 183.789
2009,  98.581,1666.607
2010, 109.721, 164.878
2011, 251.416, 137.073
2012,  76.343, 146.347
2013,282746.582,11272.368
2014,-7164441.173,2391.400
wet season average = -983000.139, dry season average = 2280.352

PFT: shrub
year,PETwet,PETdry
2008, 157.613, 183.848
2009,  98.637,1666.669
2010, 109.770, 164.938
2011, 251.472, 137.139
2012,  76.403, 146.405
2013,282746.628,11272.405
2014,-7164441.124,2391.454
wet season average = -983000.086, dry season average = 2280.408
